Datas de Oceorrencia dos eventos de ZCAS. Organizados segundo cada padrão.{Dates of occurrence of ZCAS events. Organized according to each location pattern. Southernmost PS, Central PC and Northernmost PN} 
Criado por: Jaime F. António & José Antoni Aravéquia
Contactos: jaime.fernandes@inpe.br,jaimefernandoantonio.jfa@gmail.com
GitHob - @JFA-Mbule
Evento 		Período de ocorrência		 Duração (dias) 	               Event 		      Period of ocorrence		 Duration (days) 	
PS1	&	27-Jan-91	--	3-Feb-91	&	8	\\			PS1	&	01/27/91	--	02/03/91	&	8	\\
PS2	&	22-Feb-93	--	27-Feb-93	&	6	\\			PS2	&	02/22/93	--	02/27/93	&	6	\\
PS3	&	10-Jan-94	--	14-Jan-94	&	5	\\			PS3	&	01/10/94	--	01/14/94	&	5	\\
PS4	&	1-Mar-96	--	11-Mar-96	&	11	\\			PS4	&	03/01/96	--	03/11/96	&	11	\\
PS5	&	2-Jan-97	--	8-Jan-97	&	7	\\			PS5	&	01/02/97	--	01/08/97	&	7	\\
PS6	&	20-Jan-97	--	29-Jan-97	&	10	\\			PS6	&	01/20/97	--	01/29/97	&	10	\\
PS7	&	14-Nov-97	--	19-Nov-97	&	6	\\			PS7	&	11/14/97	--	11/19/97	&	6	\\
PS8	&	12-Feb-98	--	16-Feb-98	&	5	\\			PS8	&	02/12/98	--	02/16/98	&	5	\\
PS9	&	6-Jan-99	--	18-Jan-99	&	13	\\			PS9	&	01/06/99	--	01/18/99	&	13	\\
PS10	&	19-Feb-99	--	28-Feb-99	&	10	\\			PS10	&	02/19/99	--	02/28/99	&	10	\\
PS11	&	1-Jan-00	--	8-Jan-00	&	8	\\			PS11	&	01/01/00	--	01/08/00	&	8	\\
PS12	&	25-Jan-03	--	1-Feb-03	&	8	\\			PS12	&	01/25/03	--	02/01/03	&	8	\\
PS13	&	25-Jan-04	--	29-Jan-04	&	5	\\			PS13	&	01/25/04	--	01/29/04	&	5	\\
PS14	&	20-Feb-04	--	24-Feb-04	&	5	\\			PS14	&	02/20/04	--	02/24/04	&	5	\\
PS15	&	21-Dec-04	--	25-Dec-04	&	5	\\			PS15	&	12/21/04	--	12/25/04	&	5	\\
PS16	&	17-Jan-05	--	21-Jan-05	&	5	\\			PS16	&	01/17/05	--	01/21/05	&	5	\\
PS17	&	15-Mar-05	--	20-Mar-05	&	6	\\			PS17	&	03/15/05	--	03/20/05	&	6	\\
PS18	&	17-Nov-05	--	21-Nov-05	&	5	\\			PS18	&	11/17/05	--	11/21/05	&	5	\\
PS19	&	1-Jan-06	--	8-Jan-06	&	8	\\			PS19	&	01/01/06	--	01/08/06	&	8	\\
PS20	&	27-Jan-06	--	2-Feb-06	&	7	\\			PS20	&	01/27/06	--	02/02/06	&	7	\\
PS21	&	9-Feb-06	--	13-Feb-06	&	5	\\			PS21	&	02/09/06	--	02/13/06	&	5	\\
PS22	&	26-Nov-06	--	2-Dec-06	&	7	\\			PS22	&	11/26/06	--	12/02/06	&	7	\\
PS23	&	19-Mar-07	--	23-Mar-07	&	5	\\			PS23	&	03/19/07	--	03/23/07	&	5	\\
PS24	&	22-Oct-07	--	26-Oct-07	&	5	\\			PS24	&	10/22/07	--	10/26/07	&	5	\\
PS25	&	4-Nov-07	--	7-Nov-07	&	4	\\			PS25	&	11/04/07	--	11/07/07	&	4	\\
PS26	&	19-Dec-07	--	24-Dec-07	&	6	\\			PS26	&	12/19/07	--	12/24/07	&	6	\\
PS27	&	12-Mar-08	--	17-Mar-08	&	6	\\			PS27	&	03/12/08	--	03/17/08	&	6	\\
PS28	&	12-Feb-09	--	16-Feb-09	&	5	\\			PS28	&	02/12/09	--	02/16/09	&	5	\\
PS29	&	13-Jan-12	--	21-Jan-12	&	7	\\			PS29	&	01/13/12	--	01/21/12	&	7	\\
PS30	&	7-Jan-13	--	17-Jan-13	&	9	\\			PS30	&	01/07/13	--	01/17/13	&	9	\\
PS31	&	2-Feb-13	--	10-Feb-13	&	7	\\			PS31	&	02/02/13	--	02/10/13	&	7	\\
PS32	&	13-Feb-14	--	24-Feb-14	&	4	\\			PS32	&	02/13/14	--	02/24/14	&	4	\\
PS33	&	14-Feb-15	--	19-Feb-15	&	4	\\			PS33	&	02/14/15	--	02/19/15	&	4	\\
PS34	&	8-Mar-16	--	14-Mar-16	&	5	\\			PS34	&	03/08/16	--	03/14/16	&	5	\\
PS35	&	16-Jan-17	--	23-Jan-17	&	6	\\			PS35	&	01/16/17	--	01/23/17	&	6	\\
PC1	&	18-Dec-93	--	24-Dec-93	&	7	\\			PC1	&	12/18/93	--	12/24/93	&	7	\\
PC2	&	29-Dec-93	--	6-Jan-94	&	9	\\			PC2	&	12/29/93	--	01/06/94	&	9	\\
PC3	&	13-Dec-95	--	16-Dec-95	&	4	\\			PC3	&	12/13/95	--	12/16/95	&	4	\\
PC4	&	1-Dec-00	--	8-Dec-00	&	8	\\			PC4	&	12/01/00	--	12/08/00	&	8	\\
PC5	&	1-Jan-01	--	4-Jan-01	&	4	\\			PC5	&	01/01/01	--	01/04/01	&	4	\\
PC6	&	1-Nov-01	--	6-Nov-01	&	6	\\			PC6	&	11/01/01	--	11/06/01	&	6	\\
PC7	&	16-Nov-01	--	21-Nov-01	&	6	\\			PC7	&	11/16/01	--	11/21/01	&	6	\\
PC8	&	17-Dec-01	--	21-Dec-01	&	5	\\			PC8	&	12/17/01	--	12/21/01	&	5	\\
PC9	&	24-Dec-01	--	28-Dec-01	&	5	\\			PC9	&	12/24/01	--	12/28/01	&	5	\\
PC10	&	16-Feb-02	--	24-Feb-02	&	9	\\			PC10	&	02/16/02	--	02/24/02	&	9	\\
PC11	&	10-Dec-02	--	16-Dec-02	&	7	\\			PC11	&	12/10/02	--	12/16/02	&	7	\\
PC12	&	13-Jan-03	--	19-Jan-03	&	7	\\			PC12	&	01/13/03	--	01/19/03	&	7	\\
PC13	&	2-Jan-04	--	6-Jan-04	&	5	\\			PC13	&	01/02/04	--	01/06/04	&	5	\\
PC14	&	7-Feb-04	--	11-Feb-04	&	5	\\			PC14	&	02/07/04	--	02/11/04	&	5	\\
PC15	&	1-Mar-05	--	7-Mar-05	&	7	\\			PC15	&	03/01/05	--	03/07/05	&	7	\\
PC16	&	11-Dec-05	--	16-Dec-05	&	6	\\			PC16	&	12/11/05	--	12/16/05	&	6	\\
PC17	&	7-Mar-06	--	16-Mar-06	&	10	\\			PC17	&	03/07/06	--	03/16/06	&	10	\\
PC18	&	17-Oct-06	--	20-Oct-06	&	4	\\			PC18	&	10/17/06	--	10/20/06	&	4	\\
PC19	&	7-Dec-06	--	16-Dec-06	&	10	\\			PC19	&	12/07/06	--	12/16/06	&	10	\\
PC20	&	30-Jan-07	--	9-Feb-07	&	11	\\			PC20	&	01/30/07	--	02/09/07	&	11	\\
PC21	&	6-Jan-08	--	9-Jan-08	&	4	\\			PC21	&	01/06/08	--	01/09/08	&	4	\\
PC22	&	20-Jan-08	--	24-Jan-08	&	5	\\			PC22	&	01/20/08	--	01/24/08	&	5	\\
PC23	&	30-Jan-08	--	8-Feb-08	&	10	\\			PC23	&	01/30/08	--	02/08/08	&	10	\\
PC24	&	22-Feb-08	--	25-Feb-08	&	4	\\			PC24	&	02/22/08	--	02/25/08	&	4	\\
PC25	&	7-Nov-08	--	11-Nov-08	&	5	\\			PC25	&	11/07/08	--	11/11/08	&	5	\\
PC26	&	13-Nov-08	--	24-Nov-08	&	12	\\			PC26	&	11/13/08	--	11/24/08	&	12	\\
